Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
74,Intestinal immune network for IgA production,0.09322194142252585,2.445899554990464,5.803562375153432,PIGR;HLA-DMA;IL6;TNFSF13,0.342653622526041
75,Asthma,0.09900539316631765,2.881035514764565,6.662627858965201,HLA-DMA;FCER1A;MS4A2,0.35622341931175266
76,Thiamine metabolism,0.0995330142194603,4.134320351893574,9.538976320678934,AK1;ALPL,0.35622341931175266
77,Adipocytokine signaling pathway,0.10218164196092525,2.102700455182073,4.796266563446849,SOCS3;LEPR;ACSL5;CD36;ACACB,0.35783157845138963
78,Pathways in cancer,0.10369829194752592,1.3366261917508628,3.0291553516793357,CSF3R;EPAS1;NOTCH4;HHIP;PTGS2;EDNRB;CDKN2B;EDN1;GADD45B;DAPK1;PRKCB;DAPK2;ZBTB16;HGF;FOS;GNG11;TGFBR2;BMP2;IL6;COL4A4;GNAQ;COL4A3;AGTR1;PPARG;FGFR4,0.35783157845138963
79,Cholesterol metabolism,0.10448596950348459,2.3393128610519915,5.2838117600894785,VAPA;APOH;LPL;CD36,0.35783157845138963
80,Bile secretion,0.10524458189746755,1.923161691043879,4.329937556530753,CA2;AQP4;SLC4A4;CFTR;AQP1;ABCG2,0.35783157845138963
81,Epithelial cell signaling in Helicobacter pylori infection,0.10698202355732242,2.070243482008188,4.627189743225664,CXCR2;CXCL3;CXCL2;JAM2;HBEGF,0.35924827663693454
82,NOD-like receptor signaling pathway,0.11828337748417654,1.5762254720015836,3.36472442713464,IL6;TRPV2;DEFA3;CCL2;CARD16;DEFA1;NLRC4;DEFA1B;CXCL3;CXCL2,0.3923546179962929
83,Nitrogen metabolism,0.12308277976819126,3.5827057182705717,7.505403558740916,CA2;CA4,0.39855376305890505
84,Selenocompound metabolism,0.12308277976819126,3.5827057182705717,7.505403558740916,INMT;PAPSS2,0.39855376305890505
85,JAK-STAT signaling pathway,0.13036053703219103,1.5847555923777963,3.228862350449988,SOCS2;SOCS3;CSF3;IL6;CSF3R;FHL1;LEPR;AOX1;LIFR,0.41674980104420983
86,Fatty acid biosynthesis,0.13531355838770015,3.3586122733612274,6.717763735022049,ACSL5;ACACB,0.41674980104420983
87,Rap1 signaling pathway,0.13696406633155578,1.4898077960423586,2.9617925403745673,DOCK4;PARD6B;RAP1A;ANGPT1;PRKCB;HGF;MAGI3;GNAQ;TEK;FGFR4;ITGAL,0.41674980104420983
88,"Growth hormone synthesis, secretion and action",0.13723136788212026,1.6826720505617978,3.3419330191648884,SOCS2;SOCS3;SHC3;PRKCB;GNAQ;FOS;SSTR1,0.41674980104420983
89,Sphingolipid signaling pathway,0.13723136788212026,1.6826720505617978,3.3419330191648884,PRKCB;PRKCE;GNAQ;S1PR1;FCER1A;SGMS2;MS4A2,0.41674980104420983
90,Gastric acid secretion,0.13799587423112872,1.8947015425888665,3.752516071423435,CA2;PRKCB;GNAQ;KCNJ15;CFTR,0.41674980104420983
91,PI3K-Akt signaling pathway,0.13942732314346726,1.3612992129312604,2.682047765200094,CSF3;TNXB;CSF3R;VWF;ANGPT1;HGF;ITGA1;GNG11;AREG;NR4A1;IL6;COL4A4;COL4A3;ITGA8;COL6A6;TEK;FGFR4,0.41674980104420983
92,AMPK signaling pathway,0.1415297114271098,1.6676941433827186,3.2607516513218804,CAB39L;LEPR;PPARG;CD36;ACACB;FBP1;CFTR,0.4184356685671072
93,Leishmaniasis,0.1435141254795083,1.8682889822595705,3.626950154677102,HLA-DMA;NCF2;PRKCB;FOS;PTGS2,0.4197402379615726
94,Glutathione metabolism,0.1483238034914114,2.0296081277213354,3.8732179609413557,HPGDS;GPX3;ANPEP;GGT1,0.4246744689438305
95,Legionellosis,0.1483238034914114,2.0296081277213354,3.8732179609413557,IL6;NLRC4;CXCL3;CXCL2,0.4246744689438305
96,Kaposi sarcoma-associated herpesvirus infection,0.15850099624688715,1.4719415477814517,2.7113080884575806,ZFP36;IL6;FOS;PTGS2;CXCL3;GNG11;CXCL2;TLR3;ICAM1;HLA-E,0.44908615603284696
97,Long-term depression,0.16896403635343488,1.9205794205794207,3.4149234775423647,GRIA1;GUCY1A2;PRKCB;GNAQ,0.4689614070217784
98,Mineral absorption,0.16896403635343488,1.9205794205794207,3.4149234775423647,SLC34A2;MT1M;CYBRD1;SLC26A9,0.4689614070217784
99,"Glycine, serine and threonine metabolism",0.1730250876455256,2.179223916654084,3.8230532242483393,AOC3;MAOB;MAOA,0.4753820589856865
100,Bladder cancer,0.1820435535809444,2.121765657159659,3.614447561525181,DAPK1;DAPK2;HBEGF,0.4951584657401688
101,Oxytocin signaling pathway,0.1909092848935955,1.4746739109492708,2.441996455723825,GUCY1A2;KCNJ5;PRKCB;NPR1;GNAQ;CACNA2D2;FOS;PTGS2,0.5031212147631263
102,Graft-versus-host disease,0.19118439003153836,2.067253975075204,3.42030668753862,HLA-DMA;IL6;HLA-E,0.5031212147631263
103,FoxO signaling pathway,0.19281579226183904,1.5188813881841248,2.500109127524227,IL6;CDKN2B;GADD45B;CAT;S1PR1;KLF2;TGFBR2,0.5031212147631263
104,Natural killer cell mediated cytotoxicity,0.19281579226183904,1.5188813881841248,2.500109127524227,TYROBP;SHC3;PRKCB;ICAM2;ITGAL;ICAM1;HLA-E,0.5031212147631263
105,Diabetic cardiomyopathy,0.19651370089252024,1.394944349846898,2.269606715930113,ACE;PLN;PRKCB;NCF2;PDK4;AGTR1;CD36;AGER;COX7A1;TGFBR2,0.5031212147631263
106,Vitamin B6 metabolism,0.19724055233382934,5.369359331476323,8.716248619776026,AOX1,0.5031212147631263
107,GnRH secretion,0.1979190072781416,1.7921678321678323,2.9031279868239594,KCNJ5;PRKCB;GNAQ;ARRB1,0.5031212147631263
108,Cortisol synthesis and secretion,0.205382652846295,1.7626963200733692,2.7901375276296303,NR4A1;GNAQ;AGTR1;KCNK3,0.5172600145758541
109,Axon guidance,0.2094819042762071,1.4000814133355044,2.1884923454121994,SEMA5A;ROBO2;PARD6B;CFL2;DPYSL2;NTN4;SEMA3G;SLIT2;RND1,0.5227438345241132
110,Ras signaling pathway,0.21491181930995876,1.3399544954878952,2.060216855721004,SHC3;RAP1A;ANGPT1;PRKCB;PLA2G1B;HGF;RASGRF1;TEK;FGFR4;GNG11;PLA1A,0.5314183168391707
111,Glycolysis / Gluconeogenesis,0.22054669957543804,1.7065601065601066,2.579714446645935,ALDH2;ADH1B;ALDH3B1;FBP1,0.5379992147751873
112,Yersinia infection,0.2235245491218791,1.4483254105445116,2.1699304187479656,IL6;RPS6KA2;GNAQ;CCL2;PIP5K1B;FOS;NLRC4,0.5379992147751873
113,Glutamatergic synapse,0.22729756917755112,1.4939223936418888,2.2132389188689903,GRIA1;PRKCB;GNAQ;SLC1A1;GNG11;SHANK3,0.5379992147751873
114,Fc epsilon RI signaling pathway,0.2282376484733563,1.6798076923076923,2.481693920790233,ALOX5;ALOX5AP;FCER1A;MS4A2,0.5379992147751873
115,Type II diabetes mellitus,0.2287806425373627,1.8745615174743406,2.764962543227881,SOCS2;SOCS3;PRKCE,0.5379992147751873
116,Morphine addiction,0.22944084159530048,1.5630089245000325,2.300921151524121,KCNJ5;GRK5;PRKCB;ARRB1;GNG11,0.5379992147751873
117,Small cell lung cancer,0.23608888810963327,1.5449628127112913,2.230226279425208,CDKN2B;GADD45B;COL4A4;COL4A3;PTGS2,0.5488562185112842
118,Pyruvate metabolism,0.2383916821801601,1.8318626206196038,2.626598329673978,ALDH2;ADH1B;ACACB,0.5495130301101996
119,Neutrophil extracellular trap formation,0.2409649210678561,1.3451408450704225,1.9142751985696322,SELP;VWF;NCF2;PRKCB;C5AR1;FGG;TLR8;ITGAL;AGER,0.550776962440814
120,Prolactin signaling pathway,0.24381390669160086,1.6287349014621741,2.2987150392857636,SOCS2;SOCS3;SHC3;FOS,0.5526448551676286
121,Riboflavin metabolism,0.25393948056296595,3.834858734580183,5.256284811185784,ACP5,0.5708391629184028
122,Cocaine addiction,0.2578060252641975,1.752034248239009,2.374966200326101,MAOB;MAOA;FOSB,0.5747806464906697
123,Arginine and proline metabolism,0.2675924118193544,1.7146677760608582,2.2604299098665432,ALDH2;MAOB;MAOA,0.5917490732915804
124,Fc gamma R-mediated phagocytosis,0.2700650540912388,1.4606168554378274,1.9120824363434887,PRKCB;CFL2;PRKCE;PIP5K1B;WASF3,0.59240076381304
125,Choline metabolism in cancer,0.27698729838016845,1.4448359989156954,1.854856800653201,SLC22A3;PRKCB;PIP5K1B;FOS;WASF3,0.6027243612752465
126,Retrograde endocannabinoid signaling,0.2836656073690907,1.334568491513268,1.681501813396558,GRIA1;KCNJ5;PRKCB;GNAQ;PTGS2;GNG11;MGLL,0.6075515528412372
127,Thyroid hormone synthesis,0.28367296768690115,1.5136412882891757,1.9070869522105667,DUOX1;GPX3;PRKCB;GNAQ,0.6075515528412372
128,Metabolism of xenobiotics by cytochrome P450,0.29176613898431225,1.4925407925407925,1.838515765410441,HPGDS;CYP2B6;ADH1B;ALDH3B1,0.617954195979724
129,Ascorbate and aldarate metabolism,0.2935962081667461,1.9180115560868698,2.3506188655605618,KL;ALDH2,0.617954195979724
130,Endocrine and other factor-regulated calcium reabsorption,0.29717162525351903,1.611536312849162,1.9555113971047362,KL;PRKCB;GNAQ,0.617954195979724
131,Melanogenesis,0.2979566440846421,1.399466036414566,1.694483682791037,EDN1;EDNRB;PRKCB;GNAQ;TYRP1,0.617954195979724
132,Bacterial invasion of epithelial cells,0.29988953628427784,1.4720183925663377,1.772812227334526,SHC3;ARHGEF26;CAV2;CAV1,0.617954195979724
133,Lysosome,0.31297906774888357,1.3215230037017451,1.535106186268105,NAPSA;HYAL1;LAMP3;SLC11A1;ACP5;CTSH,0.6400774919375664
134,Toll-like receptor signaling pathway,0.31917106859079414,1.3568457686104745,1.5495559337371478,IL6;TLR8;MAP3K8;FOS;TLR3,0.6478696317663881
135,Neuroactive ligand-receptor interaction,0.34384873207645045,1.1510443099746241,1.2288013249705063,GRIA1;VIPR1;EDN1;CALCRL;P2RY14;C5AR1;ADRB1;ADRB2;SSTR1;EDNRB;AGTR1;LEPR;S1PR1;AGTR2,0.6927915194429223
136,HIF-1 signaling pathway,0.35487345785406327,1.2912761258349494,1.3377543313648856,IL6;EDN1;ANGPT1;PRKCB;TEK,0.7097469157081265
137,Calcium signaling pathway,0.3624615872882271,1.1682712945360887,1.1856046745119282,EDNRB;PLN;PRKCB;TNNC1;HGF;GNAQ;AGTR1;ADRB1;ADRB2;FGFR4,0.7196317645430494
138,ErbB signaling pathway,0.3654706569493008,1.326081326081326,1.3347927321918645,SHC3;PRKCB;AREG;HBEGF,0.7203479615232596
139,Insulin signaling pathway,0.37057569662500617,1.2301532070704366,1.2211700695369605,SOCS2;SOCS3;SHC3;SORBS1;ACACB;FBP1,0.7251553200144005
140,Colorectal cancer,0.3736840942028619,1.309841378134061,1.2893351648312759,GADD45B;FOS;AREG;TGFBR2,0.7260148115941317
141,Glycerolipid metabolism,0.3763885301988299,1.3886775187825082,1.3569231078157364,ALDH2;LPL;MGLL,0.7260828383977428
